user,1,2,3,4,5,6
1375,Ballbreaker,Lucy,Alice In Chains,Crash,Babe,Another Night
1376,One Hot Minute,Original Musiquarium,Gone,Games Rednecks Play,Hamlet,Your Little Secret
1377,Hell Freezes Over,Ozzmosis,The Hustler,Apollo 13,Schindler's List,Ferris Bueller's Day Off
1378,Another Night,Don Henley's Greatest Hits,The Hustler,Great Expectations,The Little Mermaid,Alice In Chains
1379,A Bug's Life,Original Musiquarium,Ballbreaker,Lucy,Crash,Vanishing Point
1380,Another Night,Great Expectations,The Little Mermaid,Ballbreaker,Crash,Lucy
1381,Crash,Sense and Sensibility,The Year Without a Santa Claus,Seal (94),Original Musiquarium,Starting Over
1382,Cracked Rearview,Another Night,Bridge,Home,Waiting to Exhale: The Soundtrack,The Hustler
1383,Home,Bridge,Cracked Rearview,The Rugrats Movie,Another Night,Waiting to Exhale: The Soundtrack
1384,Ballbreaker,Another Night,Its A Mystery,Hell Freezes Over,The Rugrats Movie,Home
1385,Dangerous Beauty,The Object Of My Affection,The Parent Trap,Original Musiquarium,Gone,Good Will Hunting
1386,Ballbreaker,Frankenstein,Everest,Dangerous Beauty,Lucy,Babe
1387,Hamlet,Bridge,Lucy,Don Henley's Greatest Hits,Crash,Collective Soul
1388,How to Play Piano 1,Caddyshack,Lady and the Tramp,Original Musiquarium,The Picture of Dorian Gray,Good Will Hunting
1389,The Object Of My Affection,Ferris Bueller's Day Off,Morning Glory,The Woman In Me,Lucy,Another Night
1390,Hamlet,Small Soldiers,Babe,Your Little Secret,Collective Soul,Ozzmosis
1391,Live,Throwing Copper,The Shining,Big Willie Style,Small Soldiers,Whaler
1392,The Muppet Movie,Lady and the Tramp,The Picture of Dorian Gray,Cracked Rearview,Hamlet,Daydream
1393,Dangerous Beauty,The Object Of My Affection,Swingers,The Lion King,Frankenstein,Ballbreaker
1394,New Beginning,Daydream,Dangerous Beauty,The Avengers,Ferris Bueller's Day Off,The Muppet Movie
1395,The Lion King,Lucy,Its A Mystery,Babe,Collective Soul,You've Got Mail
1396,The Horse Whisperer,A Bug's Life,The Infinite Sadness,Morning Glory,Fresh Horses,Relish
1397,Titanic,Ballbreaker,Golf My Way Collection,Lucy,Whaler,The Rugrats Movie
1398,Hamlet,Apollo 13,The Parent Trap,Sony Digital MiniDisc,Hell Freezes Over,New Beginning
1399,Whaler,Gone,Waiting to Exhale: The Soundtrack,Don Henley's Greatest Hits,Caddyshack,A Boy Named Goo
1400,Bridge,Whaler,Daydream,Home,Don Henley's Greatest Hits,Relish
1401,Crash,Your Little Secret,Armageddon,The Horse Whisperer,Mulan,And Out Come Wolves
1402,Ballbreaker,Ozzmosis,Your Little Secret,Its A Mystery,Four,Everest
1403,Lucy,Alice In Chains,Fresh Horses,Ballbreaker,Bridge,Daydream
1404,A Bug's Life,Swingers,Charlotte's Web,The Princess Bride,Olympus Stylus Zoom Compact Camera,Bridge
1405,Morning Glory,The Woman In Me,Ballbreaker,The Picture of Dorian Gray,Another Night,Cracked Rearview
1406,Cracked Rearview,The Year Without a Santa Claus,Bridge,Home,Another Night,Hamlet
1407,Crash,Armageddon,Seal (94),Starting Over,Bridge,Lucy
1408,Ballbreaker,Fresh Horses,Its A Mystery,Vanishing Point,A Bug's Life,One Hot Minute
1409,New Beginning,Waiting to Exhale: The Soundtrack,Daydream,Small Soldiers,The Avengers,You've Got Mail
1410,The Infinite Sadness,A Boy Named Goo,Simply The Best,Ballbreaker,Big Willie Style,Daydream
1411,New Beginning,Vanishing Point,Charlotte's Web,You've Got Mail,The Princess Bride,Crazy Sexy Cool
1412,The Infinite Sadness,Simply The Best,Games Rednecks Play,Daydream,Babe,Ozzmosis
1413,Home,Waiting to Exhale: The Soundtrack,Cracked Rearview,Don Henley's Greatest Hits,Another Night,The Hustler
1414,Morning Glory,The Woman In Me,Bridge,Another Night,Daydream,The Rugrats Movie
1415,The Year Without a Santa Claus,Barney,Original Musiquarium,Bridge,Home,Daydream
1416,Cracked Rearview,Another Night,Whaler,Ferris Bueller's Day Off,The Wedding Singer,The Lion King
1417,You've Got Mail,Lucy,Collective Soul,Daydream,Babe,Vanishing Point
1418,Small Soldiers,Caddyshack,Big Willie Style,New Beginning,Hamlet,Hell Freezes Over
1419,Live,Small Soldiers,Ozzmosis,Apollo 13,The Wedding Singer,Caddyshack
1420,The Lion King,Frankenstein,Golf My Way Collection,Ballbreaker,Babe,Lucy
1421,Olympus Stylus Zoom Compact Camera,Hamlet,The Parent Trap,Gone,How to Play Piano 1,The Old Man and the Sea
1422,The Velvet Rope,Bridge,Waiting to Exhale: The Soundtrack,The Rugrats Movie,Sense and Sensibility,The Little Mermaid
1423,Bridge,Ballbreaker,Home,Cracked Rearview,Its A Mystery,Sense and Sensibility
1424,Gone,Panasonic Digital Palmcorder Camcorder,Another Night,Ferris Bueller's Day Off,The Picture of Dorian Gray,Ballbreaker
1425,The Woman In Me,Hamlet,Daydream,The Wedding Singer,The Object Of My Affection,Morning Glory
1426,Don Henley's Greatest Hits,How to Play Piano 1,The Princess Bride,Crazy Sexy Cool,Good Will Hunting,Small Soldiers
1427,Whaler,Ballbreaker,Lucy,Golf My Way Collection,Live,Dangerous Beauty
1428,New Beginning,Whaler,Hamlet,The Wedding Singer,The Woman In Me,Gone
1429,Home,Another Night,The Little Mermaid,How to Play Piano 1,Relish,Ballbreaker
1430,Armageddon,Blue's Clues,Mulan,And Out Come Wolves,Seal (94),Ballbreaker
1431,Ballbreaker,Titanic,Apollo 13,The Object Of My Affection,The Princess Bride,Swingers
1432,New Beginning,Apollo 13,Small Soldiers,Hamlet,The Horse Whisperer,Lady and the Tramp
1433,Throwing Copper,Games Rednecks Play,Four,Collective Soul,Babe,Schindler's List
1434,Live,Apollo 13,The Parent Trap,Hamlet,Small Soldiers,Schindler's List
1435,Ozzmosis,The Horse Whisperer,New Beginning,Four,Your Little Secret,Apollo 13
1436,Ballbreaker,Whaler,Vanishing Point,Schindler's List,Charlotte's Web,The Princess Bride
1437,Ozzmosis,The Horse Whisperer,The Avengers,The Muppet Movie,Gone,Games Rednecks Play
1438,Original Musiquarium,Ballbreaker,New Beginning,How to Play Piano 1,Golf My Way Collection,Your Little Secret
1439,Swingers,Small Soldiers,Waiting to Exhale: The Soundtrack,Don Henley's Greatest Hits,Home,Original Musiquarium
1440,Bridge,Hamlet,Lucy,Daydream,Armageddon,Sense and Sensibility
1441,Hell Freezes Over,Your Little Secret,Apollo 13,Ferris Bueller's Day Off,The Little Mermaid,Seal (94)
1442,New Beginning,You've Got Mail,One Hot Minute,The Woman In Me,The Hustler,A Bug's Life
1443,Gone,Sony Handycam Digital Recorder,Cracked Rearview,Whaler,Another Night,Sense and Sensibility
1444,Ballbreaker,Bridge,Another Night,Cracked Rearview,The Rugrats Movie,Hell Freezes Over
1445,Live,Original Musiquarium,Starting Over,New Beginning,Daydream,Hamlet
1446,One Hot Minute,New Beginning,Hell Freezes Over,Ozzmosis,Your Little Secret,The Horse Whisperer
1447,Sense and Sensibility,One Hot Minute,Simply The Best,Original Musiquarium,The Infinite Sadness,Games Rednecks Play
1448,Swingers,A Bug's Life,One Hot Minute,Games Rednecks Play,Good Will Hunting,Hamlet
1449,Ballbreaker,The Horse Whisperer,The Avengers,The Princess Bride,Morning Glory,A Boy Named Goo
1450,New Beginning,Small Soldiers,Ozzmosis,Live,The Horse Whisperer,The Hustler
1451,Lady and the Tramp,Daydream,The Object Of My Affection,The Infinite Sadness,A Boy Named Goo,Simply The Best
1452,The Hustler,Original Musiquarium,Gone,The Picture of Dorian Gray,I Love To Polka,New Beginning
1453,Lucy,The Lion King,Alice In Chains,Frankenstein,Babe,Another Night
1454,Cracked Rearview,Sense and Sensibility,Bridge,Another Night,Home,Whaler
1455,Hamlet,Olympus Stylus Zoom Compact Camera,Live,One Hot Minute,The Parent Trap,Relish
1456,Olympus Stylus Zoom Compact Camera,The Picture of Dorian Gray,I Love To Polka,Bridge,Whaler,Daydream
1457,Schindler's List,How to Play Piano 1,Sony Handycam Digital Recorder,Another Night,Cracked Rearview,The Hustler
1458,Charlotte's Web,Lucy,Bridge,Waiting to Exhale: The Soundtrack,Collective Soul,Whaler
1459,Dangerous Beauty,The Object Of My Affection,The Parent Trap,Lucy,Another Night,Home
1460,Home,Another Night,Cracked Rearview,The Hustler,The Avengers,The Year Without a Santa Claus
1461,The Lion King,Lucy,Small Soldiers,Waiting to Exhale: The Soundtrack,Collective Soul,Four
1462,Waiting to Exhale: The Soundtrack,Another Night,The Muppet Movie,You've Got Mail,The Little Mermaid,Small Soldiers
1463,The Princess Bride,Whaler,Daydream,Sense and Sensibility,The Horse Whisperer,The Wedding Singer
1464,Ballbreaker,Hamlet,Its A Mystery,Collective Soul,Babe,Armageddon
1465,Whaler,Cracked Rearview,Don Henley's Greatest Hits,Titanic,Live,Great Expectations
1466,Bridge,Waiting to Exhale: The Soundtrack,Crash,Titanic,Vanishing Point,The Avengers
1467,The Avengers,Ballbreaker,Another Night,Home,Waiting to Exhale: The Soundtrack,Cracked Rearview
1468,Bridge,Daydream,Don Henley's Greatest Hits,Hamlet,Sense and Sensibility,Original Musiquarium
1469,New Beginning,Hamlet,You've Got Mail,One Hot Minute,Lucy,Babe
1470,Bridge,Hell Freezes Over,Home,Its A Mystery,Don Henley's Greatest Hits,Crash
1471,The Picture of Dorian Gray,Bridge,Another Night,Ferris Bueller's Day Off,Let's Play Soccer,Ballbreaker
1472,Whaler,Daydream,Live,The Muppet Movie,You've Got Mail,Throwing Copper
1473,Ballbreaker,Bridge,Another Night,The Rugrats Movie,Blue's Clues,The Little Mermaid
1474,Small Soldiers,Gone,Games Rednecks Play,Bridge,Hamlet,Waiting to Exhale: The Soundtrack
1475,Crash,Ozzmosis,The Object Of My Affection,The Lion King,One Hot Minute,Original Musiquarium
1476,Apollo 13,The Parent Trap,New Beginning,Small Soldiers,Live,Schindler's List
1477,Daydream,Bridge,Home,Don Henley's Greatest Hits,Another Night,Titanic
1478,Live,New Beginning,Ozzmosis,Apollo 13,Caddyshack,Ballbreaker
1479,Morning Glory,The Woman In Me,Hamlet,Another Night,Hell Freezes Over,The Hustler
1480,Don Henley's Greatest Hits,Original Musiquarium,Home,Daydream,Whaler,Great Expectations
1481,Another Night,Sense and Sensibility,Gone,Bridge,Home,Cracked Rearview
1482,Sony Handycam Digital Recorder,Hamlet,Titanic,The Object Of My Affection,Apollo 13,Lady and the Tramp
1483,Olympus Stylus Zoom Compact Camera,Hamlet,Schindler's List,The Lion King,Crazy Sexy Cool,The Shining
1484,Hamlet,Babe,Collective Soul,The Wedding Singer,Ferris Bueller's Day Off,You've Got Mail
1485,The Muppet Movie,Small Soldiers,Caddyshack,Ballbreaker,Babe,Ozzmosis
1486,Bridge,Its A Mystery,Sense and Sensibility,Blue's Clues,Charlotte's Web,Gone
1487,A Bug's Life,Ballbreaker,New Beginning,Ozzmosis,Waiting to Exhale: The Soundtrack,Apollo 13
1488,Games Rednecks Play,Lady and the Tramp,A Boy Named Goo,Original Musiquarium,Fresh Horses,The Picture of Dorian Gray
1489,The Wedding Singer,You've Got Mail,Ballbreaker,Lucy,Collective Soul,Babe
1490,Whaler,Ballbreaker,Sense and Sensibility,The Horse Whisperer,Great Expectations,The Avengers
1491,Caddyshack,The Muppet Movie,The Lion King,The Infinite Sadness,A Boy Named Goo,Simply The Best
1492,Another Night,The Hustler,Home,Let's Play Soccer,Cracked Rearview,The Year Without a Santa Claus
1493,Its A Mystery,Lucy,Home,Cracked Rearview,Hell Freezes Over,Schubert Volume 1
1494,Daydream,The Avengers,Jesus of Nazareth,Waiting to Exhale: The Soundtrack,Home,Don Henley's Greatest Hits
1495,The Avengers,The Muppet Movie,A Boy Named Goo,Original Musiquarium,Daydream,Whaler
1496,Schindler's List,Four,Lucy,Babe,Collective Soul,The Mask of Zorro
1497,Lady and the Tramp,Jesus of Nazareth,Waiting to Exhale: The Soundtrack,Daydream,Whaler,Small Soldiers
1498,Golf My Way Collection,Jesus of Nazareth,Ballbreaker,New Beginning,Ozzmosis,Collective Soul
1499,Lucy,Its A Mystery,Collective Soul,The Truman Show,The Object Of My Affection,You've Got Mail
1500,Cracked Rearview,Another Night,The Muppet Movie,Small Soldiers,Home,Waiting to Exhale: The Soundtrack
1501,Whaler,The Picture of Dorian Gray,Ballbreaker,The Rugrats Movie,Ozzmosis,Its A Mystery
1502,Ballbreaker,Daydream,Home,Sense and Sensibility,Dangerous Beauty,A Bug's Life
1503,Cracked Rearview,Titanic,Apollo 13,The Parent Trap,Lady and the Tramp,Sony Handycam Digital Recorder
1504,Jesus of Nazareth,The Shining,Waiting to Exhale: The Soundtrack,Daydream,Big Willie Style,Schindler's List
1505,Frankenstein,Ballbreaker,Lucy,Babe,Ozzmosis,Whaler
1506,The Picture of Dorian Gray,Morning Glory,Another Night,Collective Soul,Let's Play Soccer,Babe
1507,Live,The Woman In Me,New Beginning,How to Play Piano 1,Golf My Way Collection,Daydream
1508,Ballbreaker,Babe,Collective Soul,Everest,The Muppet Movie,Throwing Copper
1509,New Beginning,Schindler's List,Four,Ferris Bueller's Day Off,The Avengers,Caddyshack
1510,Crash,The Horse Whisperer,Sense and Sensibility,Caddyshack,A Bug's Life,Lady and the Tramp
1511,Waiting to Exhale: The Soundtrack,Lady and the Tramp,The Velvet Rope,Stunt,Big Willie Style,Home
1512,How to Play Piano 1,Hamlet,Titanic,Schindler's List,The Object Of My Affection,Ferris Bueller's Day Off
1513,Hamlet,Sony Handycam Digital Recorder,Whaler,Schindler's List,Apollo 13,Lady and the Tramp
1514,Sense and Sensibility,Simply The Best,Home,Lucy,Another Night,Ozzmosis
1515,Another Night,Waiting to Exhale: The Soundtrack,Cracked Rearview,Home,The Velvet Rope,Gone
1516,Crazy Sexy Cool,Hamlet,Don Henley's Greatest Hits,Good Will Hunting,Armageddon,The Princess Bride
1517,Great Expectations,Ballbreaker,Lucy,Crash,The Rugrats Movie,Apollo 13
1518,Small Soldiers,New Beginning,Waiting to Exhale: The Soundtrack,Caddyshack,Mulan,And Out Come Wolves
1519,Daydream,Bridge,Home,Whaler,Don Henley's Greatest Hits,Titanic
1520,Blue's Clues,The Princess Bride,Mulan,Ballbreaker,New Beginning,Waiting to Exhale: The Soundtrack
1521,Hamlet,Small Soldiers,Its A Mystery,Four,Babe,Collective Soul
1522,The Hustler,One Hot Minute,Gone,Cracked Rearview,Another Night,Ferris Bueller's Day Off
1523,Ballbreaker,Babe,Its A Mystery,Everest,The Object Of My Affection,Ferris Bueller's Day Off
1524,Small Soldiers,Hell Freezes Over,Great Expectations,Seal (94),And Out Come Wolves,Starting Over
1525,Morning Glory,New Beginning,Ballbreaker,The Horse Whisperer,Ferris Bueller's Day Off,The Avengers
1526,The Infinite Sadness,Simply The Best,Ballbreaker,Babe,Daydream,Ozzmosis
1527,Ballbreaker,The Little Mermaid,Lucy,Babe,Waiting to Exhale: The Soundtrack,Collective Soul
1528,Small Soldiers,Hamlet,Your Little Secret,Caddyshack,And Out Come Wolves,Games Rednecks Play
1529,New Beginning,Daydream,Don Henley's Greatest Hits,Home,Caddyshack,The Hustler
1530,Lady and the Tramp,Another Night,The Little Mermaid,Ferris Bueller's Day Off,A Boy Named Goo,Morning Glory
1531,Hamlet,Crash,Seal (94),One Hot Minute,Barney,Original Musiquarium
1532,Crash,Armageddon,Great Expectations,Seal (94),Stunt,New Beginning
1533,Bridge,Don Henley's Greatest Hits,Cracked Rearview,Home,Daydream,Hamlet
1534,New Beginning,Small Soldiers,The Muppet Movie,The Parent Trap,How to Play Piano 1,Don Henley's Greatest Hits
1535,Lucy,Whaler,Vanishing Point,The Avengers,Great Expectations,Live
1536,Small Soldiers,Throwing Copper,Starting Over,The Shining,Hamlet,Waiting to Exhale: The Soundtrack
1537,Live,The Wedding Singer,The Shining,Big Willie Style,Ozzmosis,Whaler
1538,Sense and Sensibility,Schindler's List,Vanishing Point,A Bug's Life,Charlotte's Web,Blue's Clues
1539,Gone,Whaler,The Object Of My Affection,Lady and the Tramp,Swingers,Charlotte's Web
1540,New Beginning,Hamlet,Small Soldiers,Your Little Secret,Crash,Armageddon
1541,Babe,Ozzmosis,Collective Soul,Everest,Caddyshack,The Object Of My Affection
1542,Whaler,Schindler's List,Ferris Bueller's Day Off,Charlotte's Web,Morning Glory,Crazy Sexy Cool
1543,New Beginning,Throwing Copper,The Shining,Waiting to Exhale: The Soundtrack,Collective Soul,Lucy
1544,Ballbreaker,Ozzmosis,Whaler,The Mask of Zorro,Great Expectations,A Bug's Life
1545,Cracked Rearview,Another Night,Titanic,The Parent Trap,The Little Mermaid,Stunt
1546,Ballbreaker,The Rugrats Movie,Hell Freezes Over,Blue's Clues,Morning Glory,The Woman In Me
1547,Great Expectations,Ballbreaker,Golf My Way Collection,Crash,Lucy,Hell Freezes Over
1548,Whaler,The Lion King,Throwing Copper,Panasonic Digital Palmcorder Camcorder,Gone,New Beginning
1549,Its A Mystery,Four,Vanishing Point,A Bug's Life,The Truman Show,One Hot Minute
1550,Daydream,Original Musiquarium,Small Soldiers,Hamlet,Ozzmosis,Home
1551,Ballbreaker,New Beginning,Ozzmosis,Collective Soul,Small Soldiers,Babe
1552,Waiting to Exhale: The Soundtrack,Don Henley's Greatest Hits,Apollo 13,Mulan,Barney,The Princess Bride
1553,New Beginning,A Bug's Life,The Avengers,You've Got Mail,The Wedding Singer,The Shining
1554,Ballbreaker,Lucy,Babe,Its A Mystery,Daydream,Collective Soul
1555,Another Night,The Little Mermaid,Ballbreaker,New Beginning,Small Soldiers,Babe
1556,Charlotte's Web,Whaler,Four,The Mask of Zorro,Apollo 13,Dangerous Beauty
1557,Good Will Hunting,Daydream,Whaler,Titanic,The Avengers,The Object Of My Affection
1558,Sense and Sensibility,A Bug's Life,Sony Handycam Digital Recorder,New Beginning,Ballbreaker,Ozzmosis
1559,Fresh Horses,Its A Mystery,Lucy,Collective Soul,Babe,Crash
1560,The Picture of Dorian Gray,Golf My Way Collection,How to Play Piano 1,Panasonic Digital Palmcorder Camcorder,Another Night,Whaler
1561,The Parent Trap,Starting Over,Stunt,The Shining,Small Soldiers,Cracked Rearview
1562,Crash,Hell Freezes Over,Your Little Secret,Small Soldiers,Armageddon,Great Expectations
1563,Good Will Hunting,Your Little Secret,Hamlet,Crash,Armageddon,Lady and the Tramp
1564,The Picture of Dorian Gray,Whaler,Another Night,Great Expectations,Titanic,The Parent Trap
1565,Original Musiquarium,Good Will Hunting,How to Play Piano 1,Titanic,A Bug's Life,Swingers
1566,Lady and the Tramp,The Muppet Movie,Jesus of Nazareth,Ballbreaker,Cracked Rearview,Daydream
1567,Small Soldiers,Don Henley's Greatest Hits,Caddyshack,The Muppet Movie,A Boy Named Goo,Games Rednecks Play
1568,Titanic,The Parent Trap,Seal (94),Stunt,Home,Cracked Rearview
1569,Cracked Rearview,Another Night,Bridge,Home,The Hustler,Sense and Sensibility
1570,Good Will Hunting,Crazy Sexy Cool,How to Play Piano 1,Titanic,Schindler's List,The Princess Bride
1571,Don Henley's Greatest Hits,The Princess Bride,Mulan,Seal (94),Crazy Sexy Cool,Small Soldiers
1572,Daydream,Whaler,Waiting to Exhale: The Soundtrack,The Avengers,Lady and the Tramp,Barney
1573,Whaler,Ballbreaker,Bridge,Daydream,Home,Cracked Rearview
1574,Live,Golf My Way Collection,New Beginning,Hamlet,Ozzmosis,Daydream
1575,Titanic,Bridge,Waiting to Exhale: The Soundtrack,Its A Mystery,Don Henley's Greatest Hits,Your Little Secret
1576,The Woman In Me,How to Play Piano 1,Daydream,Morning Glory,Let's Play Soccer,Jesus of Nazareth
1577,Dangerous Beauty,The Object Of My Affection,Ballbreaker,Lucy,Bridge,Collective Soul
1578,Starting Over,Ballbreaker,New Beginning,Hell Freezes Over,The Rugrats Movie,Apollo 13
1579,Crash,Another Night,The Hustler,Great Expectations,Armageddon,The Year Without a Santa Claus
1580,Hamlet,Great Expectations,One Hot Minute,Original Musiquarium,Starting Over,The Woman In Me
1581,Gone,Whaler,Dangerous Beauty,The Lion King,Swingers,Cracked Rearview
1582,Ballbreaker,Babe,Lucy,Collective Soul,Four,Everest
1583,Your Little Secret,Apollo 13,Seal (94),Gone,Ballbreaker,Sony Handycam Digital Recorder
1584,Daydream,Don Henley's Greatest Hits,Home,The Hustler,You've Got Mail,Barney
1585,Big Willie Style,Cracked Rearview,Whaler,Don Henley's Greatest Hits,Titanic,A Boy Named Goo
1586,Live,The Parent Trap,One Hot Minute,New Beginning,The Horse Whisperer,Great Expectations
1587,Your Little Secret,And Out Come Wolves,Small Soldiers,Babe,Hell Freezes Over,Crash
1588,Whaler,The Avengers,A Boy Named Goo,The Velvet Rope,Big Willie Style,Best of Disney Volume 2
1589,New Beginning,Small Soldiers,Waiting to Exhale: The Soundtrack,Another Night,Home,Schindler's List
1590,"GPX 5"" AM/FM Portable TV",Cracked Rearview,Another Night,Hamlet,Schindler's List,Ferris Bueller's Day Off
1591,The Picture of Dorian Gray,The Object Of My Affection,Good Will Hunting,Ballbreaker,Your Little Secret,Its A Mystery
1592,Crash,Its A Mystery,The Truman Show,Panasonic Digital Palmcorder Camcorder,Seal (94),And Out Come Wolves
1593,Ballbreaker,Hamlet,Hell Freezes Over,Crash,Armageddon,The Horse Whisperer
1594,Good Will Hunting,Hamlet,Titanic,Alice In Chains,Morning Glory,Fresh Horses
1595,Live,Olympus Stylus Zoom Compact Camera,Titanic,The Parent Trap,Starting Over,Jesus of Nazareth
1596,The Avengers,A Boy Named Goo,The Infinite Sadness,Simply The Best,Ballbreaker,Waiting to Exhale: The Soundtrack
1597,Cracked Rearview,Jesus of Nazareth,The Woman In Me,Gone,The Shining,Bridge
1598,The Object Of My Affection,Lady and the Tramp,Lucy,Sense and Sensibility,The Mask of Zorro,Dangerous Beauty
1599,Daydream,The Infinite Sadness,Simply The Best,Big Willie Style,Ballbreaker,Bridge
1600,Whaler,New Beginning,The Woman In Me,The Picture of Dorian Gray,Olympus Stylus Zoom Compact Camera,I Love To Polka
1601,New Beginning,You've Got Mail,Ballbreaker,Lucy,Babe,Ozzmosis
1602,New Beginning,Whaler,Titanic,Schindler's List,The Parent Trap,Crazy Sexy Cool
1603,Great Expectations,Crash,Cracked Rearview,Armageddon,Apollo 13,Olympus Stylus Zoom Compact Camera
1604,Daydream,Don Henley's Greatest Hits,Barney,Home,Crash,Vanishing Point
1605,Your Little Secret,Ozzmosis,The Horse Whisperer,Caddyshack,One Hot Minute,Gone
1606,Cracked Rearview,Another Night,Lady and the Tramp,Jesus of Nazareth,How to Play Piano 1,Let's Play Soccer
1607,The Muppet Movie,Small Soldiers,Your Little Secret,Caddyshack,And Out Come Wolves,Starting Over
1608,The Hustler,New Beginning,Cracked Rearview,Another Night,Live,The Year Without a Santa Claus
1609,Lucy,Hell Freezes Over,Babe,The Rugrats Movie,Collective Soul,Crash
1610,Gone,Ferris Bueller's Day Off,Lady and the Tramp,Swingers,Cracked Rearview,Hamlet
1611,I Love To Polka,Daydream,Whaler,Don Henley's Greatest Hits,Another Night,Sense and Sensibility
1612,New Beginning,And Out Come Wolves,Collective Soul,Small Soldiers,Babe,Ozzmosis
1613,Titanic,The Parent Trap,Bridge,Cracked Rearview,Home,Charlotte's Web
1614,Whaler,Don Henley's Greatest Hits,A Bug's Life,Great Expectations,Home,Bridge
1615,Ballbreaker,Lucy,Cracked Rearview,Crash,Vanishing Point,Simply The Best
1616,"GPX 5"" AM/FM Portable TV",Ballbreaker,Another Night,Lucy,Hell Freezes Over,Bridge
1617,Cracked Rearview,Starting Over,Stunt,Ballbreaker,Olympus Stylus Zoom Compact Camera,Lucy
1618,Lady and the Tramp,Small Soldiers,Apollo 13,The Muppet Movie,The Little Mermaid,The Velvet Rope
1619,Waiting to Exhale: The Soundtrack,Blue's Clues,Lady and the Tramp,The Velvet Rope,Ballbreaker,Bridge
1620,Small Soldiers,Swingers,Charlotte's Web,Mulan,Barney,Crash
1621,The Picture of Dorian Gray,Caddyshack,Original Musiquarium,Crash,Small Soldiers,Another Night
1622,Original Musiquarium,The Picture of Dorian Gray,Lady and the Tramp,A Boy Named Goo,Games Rednecks Play,Good Will Hunting
1623,Starting Over,Armageddon,Throwing Copper,Seal (94),Ballbreaker,New Beginning
1624,Ballbreaker,Ozzmosis,The Rugrats Movie,Live,The Horse Whisperer,The Wedding Singer
1625,Small Soldiers,Waiting to Exhale: The Soundtrack,Another Night,Schindler's List,Apollo 13,The Little Mermaid
1626,New Beginning,Small Soldiers,Hamlet,Armageddon,Mulan,Starting Over
1627,Simply The Best,Home,Daydream,Another Night,The Rugrats Movie,Sense and Sensibility
1628,Whaler,Golf My Way Collection,The Avengers,The Picture of Dorian Gray,Jesus of Nazareth,Daydream
1629,Schindler's List,The Shining,Ballbreaker,Collective Soul,The Rugrats Movie,Its A Mystery
1630,Its A Mystery,Four,Your Little Secret,One Hot Minute,Fresh Horses,Ballbreaker
1631,Small Soldiers,Charlotte's Web,The Muppet Movie,Lady and the Tramp,The Velvet Rope,Jesus of Nazareth
1632,Gone,Original Musiquarium,Cracked Rearview,Daydream,Hamlet,Bridge
1633,Whaler,How to Play Piano 1,Jesus of Nazareth,The Old Man and the Sea,Cracked Rearview,Hamlet
1634,Bridge,Its A Mystery,Cracked Rearview,Home,Don Henley's Greatest Hits,The Hustler
1635,A Bug's Life,Crash,Lucy,Live,Swingers,The Horse Whisperer
1636,A Bug's Life,New Beginning,Whaler,Four,The Avengers,Vanishing Point
1637,Cracked Rearview,Daydream,Home,The Infinite Sadness,Simply The Best,Good Will Hunting
1638,Ballbreaker,Hamlet,Its A Mystery,Hell Freezes Over,Babe,Collective Soul
1639,Hamlet,Dangerous Beauty,Titanic,The Object Of My Affection,The Parent Trap,Original Musiquarium
1640,Titanic,Charlotte's Web,Cracked Rearview,Bridge,Whaler,Home
1641,The Parent Trap,Titanic,Gone,Frankenstein,The Picture of Dorian Gray,Relish
1642,Whaler,New Beginning,Daydream,Hamlet,Don Henley's Greatest Hits,The Object Of My Affection
1643,New Beginning,Whaler,Another Night,Don Henley's Greatest Hits,The Hustler,Great Expectations
1644,Whaler,Live,New Beginning,Don Henley's Greatest Hits,Great Expectations,The Parent Trap
1645,Ballbreaker,Ozzmosis,Daydream,Vanishing Point,The Avengers,You've Got Mail
1646,Daydream,Olympus Stylus Zoom Compact Camera,The Wedding Singer,You've Got Mail,The Avengers,The Parent Trap
1647,The Horse Whisperer,Hamlet,Hell Freezes Over,Good Will Hunting,Crash,Your Little Secret
1648,Collective Soul,Four,Babe,The Truman Show,The Lion King,Throwing Copper
1649,Whaler,Schindler's List,Alice In Chains,Jesus of Nazareth,"GPX 5"" AM/FM Portable TV",Sony DVD/CD/Video Player
1650,Apollo 13,Charlotte's Web,Ballbreaker,Small Soldiers,The Rugrats Movie,Hell Freezes Over
1651,The Object Of My Affection,Swingers,Original Musiquarium,Games Rednecks Play,Good Will Hunting,Hamlet
1652,New Beginning,Small Soldiers,Ozzmosis,Apollo 13,Great Expectations,Schindler's List
1653,The Rugrats Movie,The Object Of My Affection,Lady and the Tramp,The Velvet Rope,Don Henley's Greatest Hits,Another Night
1654,Small Soldiers,Crash,Your Little Secret,Armageddon,And Out Come Wolves,Starting Over
1655,The Object Of My Affection,The Princess Bride,Crazy Sexy Cool,Good Will Hunting,New Beginning,Small Soldiers
1656,Original Musiquarium,Golf My Way Collection,Daydream,Live,The Horse Whisperer,Swingers
1657,New Beginning,Ballbreaker,Ozzmosis,Your Little Secret,Four,Apollo 13
1658,Titanic,The Parent Trap,How to Play Piano 1,Hamlet,Schindler's List,Swingers
1659,One Hot Minute,Bridge,Its A Mystery,Sense and Sensibility,Vanishing Point,The Infinite Sadness
